ID_code,target,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50,var_51,var_52,var_53,var_54,var_55,var_56,var_57,var_58,var_59,var_60,var_61,var_62,var_63,var_64,var_65,var_66,var_67,var_68,var_69,var_70,var_71,var_72,var_73,var_74,var_75,var_76,var_77,var_78,var_79,var_80,var_81,var_82,var_83,var_84,var_85,var_86,var_87,var_88,var_89,var_90,var_91,var_92,var_93,var_94,var_95,var_96,var_97,var_98,var_99,var_100,var_101,var_102,var_103,var_104,var_105,var_106,var_107,var_108,var_109,var_110,var_111,var_112,var_113,var_114,var_115,var_116,var_117,var_118,var_119,var_120,var_121,var_122,var_123,var_124,var_125,var_126,var_127,var_128,var_129,var_130,var_131,var_132,var_133,var_134,var_135,var_136,var_137,var_138,var_139,var_140,var_141,var_142,var_143,var_144,var_145,var_146,var_147,var_148,var_149,var_150,var_151,var_152,var_153,var_154,var_155,var_156,var_157,var_158,var_159,var_160,var_161,var_162,var_163,var_164,var_165,var_166,var_167,var_168,var_169,var_170,var_171,var_172,var_173,var_174,var_175,var_176,var_177,var_178,var_179,var_180,var_181,var_182,var_183,var_184,var_185,var_186,var_187,var_188,var_189,var_190,var_191,var_192,var_193,var_194,var_195,var_196,var_197,var_198,var_199
train_73297,0,7.4516,-1.071,7.6644,6.6644,10.6747,-13.2679,5.9301,21.5816,-3.1252,7.7467,6.2397,2.5985,14.1479,6.7771,7.374,14.1029,7.8428,1.1033,22.401,17.4102,12.7204,22.8189,5.2567,3.4875,8.0206,13.4386,-14.9132,-1.255,4.8613,6.4282,-14.2208,10.4885,-2.2753,15.5494,11.4735,-3.8381,3.057,7.2255,11.9302,1.4536,-4.4713,11.0753,11.3711,11.9061,-1.0764,24.9145,12.5975,-18.3783,7.1589,21.6436,12.4121,26.5036,1.0311,6.1246,1.5619999999999998,14.785,13.145999999999999,7.5391,13.0537,9.5303,4.8304,-11.2233,-1.7361,-0.0132,8.6574,-0.9388,6.5794,12.3485,5.0194,-1.3325,34.97,0.4182,-2.6694,41.50899999999999,6.9117,20.2593,-2.2208,17.4153,8.7619,14.1677,-11.7451,15.3921,8.0066,7.4967,-1.2755,17.715,17.0856,17.2371,10.7575,1.4197,-19.6774,7.2266,9.9151,10.1878,10.4545,-0.20800000000000002,21.4037,-3.8059,1.3853,0.2699,5.1989,9.6041,36.3563,1.8317,12.4009,3.6687,8.5905,23.5401,14.4762,24.0044,3.7973,5.9329,1.5922,2.7608,1.7748,2.5004,4.7132,26.195999999999998,-20.109,1.9734,16.7101,12.3978,0.1713,9.4392,7.5109,12.9111,13.8196,3.2954,5.4234,7.5695,12.1566,1.1223,9.391,6.8702,-3.2642,-1.0772,12.0778,11.5903,-4.9933,21.8831,5.4748,0.9744,11.6787,12.0398,8.6847,8.6905,13.9476,2.512,4.0022,20.0951,19.5398,13.4156,11.2925,17.9532,1.8466,1.3522,11.6378,-10.0173,10.8249,20.0105,11.8113,5.2137,2.7114,2.3177,-8.7053,18.7271,2.3225,9.9948,2.2504,5.9383,4.02,-11.144,9.4169,4.2533,17.2157,11.4424,-13.1915,14.5418,4.9134,2.8073,-10.3745,9.3932,-3.8901,1.5586,17.4676,-11.5323,3.5557,-8.551,14.8519,2.6341,7.0792,6.0545,2.4383,0.3335,15.5773,0.4564,1.6129,7.8048,15.8583,-3.773
train_79756,1,14.6469,0.2512,8.5101,6.6862,12.0408,4.6785,6.968,19.3274,4.7879,7.8,2.0032,-5.9886,14.4644,12.2095,6.9114,14.2931,6.1212,-0.3028,7.4518,15.1434,12.5761,32.2351,5.7123,2.271,10.0786,13.8313,-21.8705,-1.307,6.4418,3.5907,-2.4546,8.2336,-2.2055,12.8194,10.8321,14.8702,0.1138,4.878,14.2671,5.2504,-12.1024,10.5382,10.7573,11.5658,8.2485,-33.8353,11.6844,-24.025,4.4826,10.7211,13.3195,4.9183,5.9748,5.502999999999999,-9.3204,14.7392,20.6648,6.6553,1.5330000000000001,9.5674,14.6167,-6.6093,-2.1468,-1.0615,6.4403,-2.8108,6.7088,8.7289,5.0229,-2.1154,19.3072,0.7097,0.3031,13.789000000000001,19.2009,14.3835,0.4608,14.6856,8.7084,15.9171,8.3727,12.9558,2.5707,-9.6636,0.6072,9.4547,-1.4839,12.959000000000001,10.6936,7.4691,-20.0168,6.8919,7.7071,9.8409,7.8211,-0.9872,19.6231,20.4952,2.1945,-0.4754,-9.3005,12.4931,37.777,1.4169999999999998,8.9003,4.2021,8.982000000000001,16.3111,14.4,14.9396,9.0697,8.9362,1.0522,9.3176,3.4677,0.0257,4.7927,13.5722,-19.2813,-0.1201,26.9241,8.3332,-4.2843,-2.8235,-1.2579,12.2569,12.9754,-0.4203,-4.893,15.455,13.5736,0.4777,7.4907,7.3787,-12.3426,12.9239,22.5503,10.5867,5.9231,12.8549,5.9723,9.1971,18.486,13.1066,9.3393,6.7475,8.0851,-1.5798,4.1741,21.1888,19.2504,5.3113,5.6616,15.3878,6.7848,-0.2999,12.5612,-2.3046,32.1586,2.9754,21.336,5.6083,6.3034,21.3982,4.1812,14.5937,2.9532,0.0442,8.8027,5.7603,6.2423,3.6611,44.2928,4.787,15.3316,15.3156,-1.9049,9.2867,-2.6074,3.0216,4.2208,10.3768,-9.7813,7.2397,23.2947,-11.542,3.4292,-23.9609,19.8554,2.4879,4.0484,6.4801,3.5978,3.1407,23.9872,1.5292,-6.405,8.117,12.6881,-7.7544
train_138043,0,11.9599,-5.8784,7.9067,6.5769,7.4192,-5.8442,4.8585,14.3521,6.0742,5.6655,3.6846,0.2902,14.3668,16.0328,8.9844,14.5269,6.6162,-9.0221,19.4389,17.3597,14.59,4.5615,2.6934,2.2418,11.4071,13.6348,0.3144,-2.7710000000000004,4.3484,2.3148,-11.9081,14.4746,0.0847,11.7781,11.3394,1.7877,7.4834,9.7104,12.7886,7.9168,-16.0277,13.8729,11.3824,11.5442,9.9989,-46.0027,9.6187,-5.3264,17.8275,22.4991,13.3778,16.7325,-1.0119,7.3497,-0.6669,8.6709,18.4163,5.7469,-6.1606,7.3823,8.2985,-13.1437,1.2962,-3.063,4.3784,-0.4266,8.1827,8.8866,5.0125,-1.4402,36.8156,0.6223,1.6224,20.1552,22.9085,18.5551,10.158999999999999,16.176,6.6343,15.6419,19.805999999999997,14.4296,5.7101,-6.1649,-6.8352,16.8161,20.8135,6.3113,10.8636,1.749,-31.0728,6.7892,10.6363,9.7135,9.4203,1.1465,9.8045,10.1365,1.3015,-0.0572,-17.4992,13.7745,15.1317,1.9163,13.5978,3.7203,6.7778,11.2014,14.0662,20.7342,5.5191,9.0668,5.2533,4.5438,2.2148,-1.3719999999999999,3.0184,10.0722,7.1908,2.903,20.8007,10.3915,8.7244,14.4932,3.2960000000000003,12.2846,13.879000000000001,3.5673,1.8934,19.4583,11.6693,1.0513,8.1797,6.4558,1.8449,-11.1905,4.5674,7.6566,-0.2801,10.3914,-2.3488,13.2112,17.3249,12.7405,9.2821,9.1663,11.549000000000001,-16.4995,4.4615,-3.3268,14.617,8.2596,8.7457,16.1167,8.8241,-4.0148,13.0856,-6.8978,25.4738,12.1941,20.8383,5.6866,5.8584,17.6066,5.0424,16.9548,3.1176,-6.7289,3.1033,5.7299,-0.5705,9.786,9.3204,6.5337,16.6526,13.7742,5.1315,14.3914,-0.5439,0.6972,1.6601,10.2368,8.3015,12.3118,10.1592,-4.4228,13.8126,-25.9904,14.8238,1.1897,-5.3537,7.5983,3.9085,6.3675,21.7338,-0.5874,-6.097,8.5625,20.0341,3.3469
train_33678,0,9.0334,0.4932,11.5369,5.6356,10.802,-11.692,4.8708,13.2391,-2.1433,8.5117,6.2094,3.0697,13.955,12.4282,3.7282,14.8578,12.415999999999999,-18.3585,7.8343,-1.6442,15.9468,19.8512,3.8587,3.4208,13.5619,13.6055,-4.5914,-3.8366,5.1751,1.9752,-13.1447,10.6528,-0.0121,12.4854,10.8992,9.2992,2.5958,7.872999999999999,6.3503,-2.7261,1.8814,2.1602,10.5277,11.3878,9.4508,-17.6708,15.5303,-18.18,13.5413,17.1874,13.6173,6.7997,-6.4328,5.3786,3.8328,6.9044,20.6137,6.5449,-3.5945,7.9976,11.925,-4.5166,-2.3242,3.5078,6.8101,-4.4908,2.9146,7.1001,5.0111,-4.838,36.6209,0.8545,-3.2626,17.2644,16.488,10.6187,4.4542,21.0995,4.3711,14.7576,-3.7335,14.8475,-12.8698,-0.6732,-12.2118,26.1917,-0.8478,2.7731,7.5685,4.2729,-4.0524,6.9911,17.6277,11.2728,5.9776,0.0816,19.3475,30.3615,1.0811,-0.6167,-15.7137,7.5176,22.3467,1.3524,8.8285,4.1902,9.4428,23.0565,14.0708,25.9684,5.8403,6.1768,3.8048,2.2198,3.6103,2.4304,2.8873,39.1287,-19.2267,6.1477,26.8584,14.3564,0.0933,16.773,4.2341,12.9588,12.6949,1.1388,-7.3058,16.5557,12.2957,1.0249,10.6938,7.4319,-9.1753,-8.47,39.028,12.3253,7.6604,13.1874,-0.5195,2.1788,11.7691,12.5747,10.3515,1.8277,10.4335,5.8972,4.2168,0.3912,15.0626,6.9997,9.3512,19.6599,8.5924,-6.3452,12.7792,-5.7681,16.1084,5.9473,10.0137,5.8281,5.3349,14.6979,-5.4887,22.5612,2.474,4.2338,4.757,5.3891,-5.3077,3.6864,16.3794,-3.8378,-0.1716,10.1839,-3.1878,12.5872,-15.1322,3.4908,-1.2509,9.7552,-7.5832,14.0537,11.1007,-4.9892,11.3514,-1.9533,11.675,-0.3497,5.1401,9.1957,2.434,5.5633,16.7777,1.9633,-3.2447,8.7895,14.6535,2.2478
train_133321,0,8.6398,-0.4785,16.9614,2.6484,9.9465,-3.0443,6.1818,12.0435,-1.9192,8.8357,9.4499,-9.661,14.2112,10.145,9.5209,14.6434,15.2165,-6.1091,13.6382,-0.5851,15.9816,22.5569,3.6522,1.675,12.6647,13.8731,-0.8904,0.0112,5.7797,3.5962,5.5791,9.5621,-0.0109,16.0442,11.3075,7.7045,-2.5318,5.6851,14.0077,3.0319,-11.1303,0.9357,11.8059,11.677999999999999,14.5676,-2.082,13.6169,-1.4459,26.6775,18.9975,13.8294,6.6331,-0.7698,4.5956,-2.8557,7.7571,13.6145,5.7414,13.216,8.1043,23.0438,3.1306,5.2847,-1.7613,9.7751,5.3229999999999995,5.9093,10.4615,5.0007,-9.1374,34.4047,1.0625,3.6481,10.4702,22.8806,12.3022,15.2147,15.2402,7.557,14.8838,-0.086,14.6315,-11.6427,0.1816,-0.8767,24.1244,1.5424,15.5024,8.0424,9.1847,-0.902,6.9401,18.7203,10.2932,13.9375,-1.2544,10.5021,34.7314,0.8426,-0.1504,-13.8202,13.0467,24.7193,1.3746,11.2602,4.0781,7.0218,16.5966,14.0221,16.1123,5.5929,6.135,3.8398,12.8397,4.2417,3.7774,2.9927,-0.0923,-7.5284,0.5628,29.3373,11.0511,5.1871,9.5341,2.3068,12.3555,13.0347,-0.5504,-6.6292,20.982,11.982999999999999,1.3481,8.9463,6.4814,-16.0705,-0.6084,36.324,25.5045,4.9477,-4.7375,-0.5953,10.8319,9.6349,15.4246,8.3411,6.3887,11.503,8.7765,4.0739,-16.8637,20.8914,16.7986,2.6951,16.3153,15.1715,2.4055,12.4851,1.9595,17.0211,5.6493,22.6166,5.7116,3.3965,8.0617,0.4288,18.0111,2.1966,-10.6553,7.3986,5.7989999999999995,-0.7204,1.5353,27.1932,-7.7187,18.0664,13.1968,-11.1952,12.137,-10.5537,7.8353,-3.3914,9.2439,12.4202,4.2804,9.1355,-3.2875,6.2873,2.6210000000000004,11.7566,0.7924,1.6368,4.9795,0.3358,1.0997,21.3309,0.7617,3.2567,8.1391,8.5642,-14.1064
train_165003,0,8.6524,5.859,12.5248,8.4374,9.7052,0.3123,5.6246,18.1084,0.6891,8.8497,-0.7365,-13.8314,13.9429,4.8671,6.3742,14.3273,7.1122,-8.4202,14.6806,2.1783,18.5037,6.7574,0.882,4.001,8.1292,13.685,-6.3605,-1.0423,4.394,6.0464,-22.688000000000002,6.8216,1.3353,19.4294,11.2665,1.3084,0.6365,9.3102,13.57,4.3694,0.0834,6.6222,10.5498,11.5268,10.1196,-38.3179,15.8375,-2.4546,17.3285,6.8005,11.7253,14.161,-6.7201,6.5392,10.1468,9.5636,20.5227,6.0098,6.3853,9.0921,21.3973,-25.3648,2.8192,4.0069,6.4279,9.0994,5.7671,13.728,5.0275,-0.1785,25.6218,0.5394,-2.274,17.4912,14.9748,21.3299,0.8092,17.2491,5.1825,14.0839,13.2395,14.1323,0.4951,12.3597,-0.0617,16.3807,1.0615,10.6761,13.8499,2.8797,-3.6731,7.2173,18.4188,10.2769,14.6831,-0.6347,8.9381,22.8887,2.7472,-0.7987,10.1546,15.7541,13.4587,1.2619,11.4894,2.9137,11.8759,11.8855,14.0289,16.7107,5.0175,6.7017,4.7548,-1.6425,3.0082,4.0743,1.0503,6.9366,-10.7368,9.3835,26.7383,12.2404,4.001,18.2877,4.9146,12.3273,13.1087,0.8641,-3.8694,13.3366,12.8214,1.2078,7.6281,6.5479,-11.465,1.3227,5.0031,16.2445,-1.4606,11.2988,4.3277,9.9458,13.9301,18.5134,6.6973,2.2936,13.3573,-6.3839,3.653,20.6507,14.2204,19.9933,9.0814,15.4619,3.0726,-9.3849,12.6094,1.5067,21.1699,5.6287,31.9325,5.7963,6.0088,12.5378,2.1184,17.9551,2.6861,-10.7442,3.3844,5.1935,2.6452,-5.4493,12.8362,-5.9110000000000005,28.9288,8.7111,-1.9361,9.7203,1.9092,1.2155,-7.0134,9.55,5.2704,11.9058,9.7408,1.781,12.1544,-23.9587,14.7811,2.5527,3.764,8.654,0.6229,7.2065,20.813000000000002,0.8594,1.4974,9.5552,16.6989,3.7098
train_21422,0,11.5305,0.0187,13.0836,5.7242,9.5447,-6.6283,4.5735,14.9121,3.6345,6.6579999999999995,-3.6906,-1.436,14.2194,11.6049,5.7406,14.54,4.6064,-0.6076,20.7031,14.9573,16.9131,29.0587,3.2279,2.8947,15.5436,13.5427,-11.7996,0.0559,5.2349,7.1745,-1.0329,8.1907,-3.0987,19.0353,11.9485,6.3112,3.2124,5.4692,10.3917,3.6002,-13.5009,2.5241,10.055,11.7172,12.2263,-1.6002,7.0473,5.0488,13.2637,21.3383,13.6685,2.1194,-8.822000000000001,5.083,1.1772,4.5301,16.0705,6.7412,6.4743,9.1193,7.4603,-16.4629,1.2797,1.0533,5.3767,-1.1239,3.9148,11.0687,5.0272,-3.0118,1.4196,0.9455,-3.3409,9.0807,43.6306,11.4267,9.1153,22.6403,3.3238,15.5786,5.654,16.3818,-5.4995,13.6485,7.5319,11.9601,4.2983,10.3354,11.062999999999999,-1.8007,-30.5023,6.9974,9.8048,11.5457,14.092,-0.4452,17.3678,20.2202,1.1093,-3.1549,-16.3546,1.9588,25.9181,1.4114,11.0264,5.401,10.7019,13.9938,14.385,17.6234,1.8626,5.1753,0.8315,11.1887,2.2909,4.6954,-0.5845,35.7002,13.3417,3.3525,50.84,8.9224,0.1191,8.4915,3.2843,12.5795,12.0798,-0.8062,-3.5665,13.3376,12.042,0.031,7.353,7.1784,-11.5537,-1.4609999999999999,17.6643,23.0823,9.8377,15.2007,-6.8156,-2.6004,18.222,5.414,10.5467,5.6926,7.9111,-2.6671,3.9831,-11.1868,19.6965,13.7217,9.2331,16.5945,9.9175,4.0377,13.4544,-10.2219,18.846,11.411,38.2108,5.3106,5.7794,4.468,-1.1292,12.4317,3.3254,0.9975,3.9755,5.8068,9.5715,-3.0326,16.054000000000002,1.136,15.7457,16.5056,11.9389,14.267999999999999,-10.9841,3.6195,6.7326,10.9591,7.7555,4.2798,6.586,-0.0712,12.3426,-24.6233,17.5718,1.0217,9.9383,7.4466,1.42,7.2289,21.6046,-0.8523,2.3743,9.9628,13.1409,-7.2566
train_150161,0,14.3703,4.5701,12.7301,7.3579,8.088,-11.4987,5.0813,12.1331,3.5127,5.6787,0.4399,-7.2604,13.8359,6.4404,9.8038,14.7288,12.8339,4.4897,17.4199,6.4808,9.187000000000001,30.1892,6.5422,2.479,7.4516,13.4623,-2.5024,-0.8975,5.5411,6.2202,-23.3679,6.5267,2.8549,17.3973,10.9379,12.8004,6.0967,7.284,9.2678,-6.1038,12.4996,13.6511,11.8156,11.5142,4.0544,13.4747,13.3422,-5.0975,38.6437,14.7916,12.2463,7.6218,-3.1008,5.6432,1.5946,11.577,19.1191,6.6288,9.5388,7.9375,11.4128,-1.5099,-1.9558,2.5934,4.3999,4.3253,3.5259,21.848000000000003,5.0023,-8.0917,11.0405,0.3652,-0.2244,21.3283,19.2627,22.0158,2.8747,17.0506,7.4603,13.9342,-2.2769,18.2489,-0.0755,-14.3326,-6.7384,15.4954,5.68,2.5806,9.3953,1.6727,-14.3107,6.915,11.0828,10.2546,8.9288,0.3912,7.2251,2.2228,2.3752,-3.1242,-18.9421,14.663,27.6476,1.8036,12.3154,2.5173,9.4125,15.7598,14.2366,22.6369,7.5876,4.4248,2.7794,11.4568,3.1241,3.5395,1.173,20.396,13.8354,9.2621,15.3079,13.0846,8.8172,2.3815,3.8348,12.0882,11.9571,2.1171,-5.4248,10.9321,12.815999999999999,0.2066,8.1919,6.7746,-11.3493,-14.2111,16.1741,33.3013,0.087,15.8402,5.1941,5.1865,16.4477,11.6454,8.3893,0.8843,7.0575,-11.6694,4.1062,-14.4079,12.7425,14.4456,9.6253,20.7571,5.5047,-7.3534,12.3375,2.0269,24.6195,5.9594,20.0455,5.7575,6.476,13.6465,-2.9614,28.0623,2.6841,5.9535,5.8044,6.0934,-8.8066,-10.1006,6.3134,-6.1103,13.9461,13.6179,-18.6883,8.9146,1.0085,4.4565,-7.7446,12.7779,-14.3924,4.0077,12.3033,-2.6755,4.1513,7.8791,17.0105,-0.122,0.3944,6.8162,0.8016,5.7154,15.9879,-1.2856,7.6103,8.9239,20.7135,1.0447
train_36535,0,11.9174,1.5123,9.2049,3.3336,13.9674,-3.7584,6.2475,10.3415,-1.996,8.2896,12.8727,-6.5827,13.9823,-0.6945,6.7543,14.9801,11.6792,-13.5968,17.8866,21.0092,19.3176,25.1948,2.0797,2.6973,10.5659,13.2319,-2.7913,0.9108,5.5536,2.4127,-0.5417,10.7363,-1.1602,11.5315,11.7196,-5.2487,2.8810000000000002,3.1014,9.1547,4.4987,-8.3925,4.3168,10.7048,11.3165,16.8717,-13.0459,12.6476,-7.3505,23.2697,7.5443,12.7461,-0.6106,-3.5203,6.5997,4.6052,4.8223,12.3141,4.8713,5.4434,8.2456,13.3168,-14.15,1.7656,-1.3377,8.2628,2.8727,6.6506,19.5219,5.0089999999999995,-1.1928,34.741,0.5885,4.0498,26.4236,11.4064,20.0391,10.4871,16.5115,8.6302,14.8452,2.2433,15.5368,13.2514,3.4459,-6.9456,12.9528,17.4437,10.5027,8.3556,4.0087,-5.2281,7.0527,20.898000000000003,9.9949,11.2042,0.3862,23.9779,35.2563,1.5685,-0.6684,-5.7735,9.1386,22.7111,1.7149,12.9435,4.5961,8.6409,26.2996,13.9724,18.1042,1.72,5.5842,1.2365,18.329,5.3698,4.3584,2.501,25.6,-23.8595,-1.9383,30.5515,12.9695,1.9616,16.041,8.4678,12.8092,14.0651,6.2776,-8.3913,14.3689,12.130999999999998,1.1994,5.9278,6.6547,-7.2364,-2.7826,8.4183,33.6862,1.9643,9.6836,0.873,11.4902,12.2202,10.379000000000001,6.3349,0.7888,11.2981,12.8584,3.824,-7.2682,19.9849,4.8185,4.7006,17.6338,5.8743,-5.5425,13.3064,-4.2805,15.8497,11.1428,27.2535,5.6086,4.0408,9.8618,-1.3712,19.7369,3.0891,1.5542,0.9271,5.7535,0.5026,-7.3722,25.9756,-3.6038,25.2124,7.6012,3.9394,9.3666,12.288,-0.7417,-3.3059,12.7382,-5.4698,8.2273,6.1919,-3.9960000000000004,6.5099,-9.6291,11.8656,1.0492,3.4665,11.2325,4.33,4.6878,19.9871,-2.0893,-7.5402,9.9408,14.1365,-5.2356
train_75598,0,13.0433,-6.3444,13.1417,7.5483,12.7841,-10.4474,4.1987,15.5883,3.5935,9.1764,-1.3426,-2.6633,14.2556,7.8604,8.52,14.5433,13.3539,-7.7933,15.7534,16.8973,5.3998,10.3959,3.6544,2.9912,7.0262,13.5897,-11.5626,-0.6963,6.1262,4.1593,-18.665,8.0346,-4.3424,20.4234,12.0216,11.8861,1.5042,3.641,8.8989,-0.7389,5.5129,15.3073,10.4587,11.7702,4.6606,12.0887,11.9451,-27.5735,7.316,8.4739,12.1959,7.5126,-7.7098,6.6022,14.5652,16.8887,10.6549,6.5369,2.5383,10.4558,11.5457,-20.4311,2.1212,2.7804,6.3126,5.8287,6.1764,23.9851,5.0217,-5.6011,10.8715,0.7894,-1.1047,18.5429,24.4424,6.7,-3.5621,17.3356,2.0797,13.7176,14.9471,14.387,1.7246,-12.0189,5.978,12.5663,-5.505,16.7212,7.1507,4.638,6.8914,6.9506,14.522,10.4695,11.2488,-0.2839,29.9058,-10.0826,1.463,-2.0907,-15.0994,12.2736,16.488,1.6275,11.5748,4.6045,8.6163,19.4794,14.2464,16.3256,4.4211,5.6694,3.8828,7.83,2.3739,-0.6955,4.5532,23.4954,-19.9616,2.6564,17.9402,14.42,0.7042,7.9387,3.6299,12.279000000000002,12.3938,3.9193,0.3352,16.1265,12.3968,0.6246,11.0004,6.8547,-6.4009,-11.9669,18.0786,10.1112,3.1166,8.9923,5.5043,7.9368,7.4159,11.4106,7.631,1.2793,16.3586,-8.6249,4.2343,-4.8148,20.0042,13.6339,7.9873,16.1711,3.3621,-4.8225,13.7486,-9.6677,27.4052,15.0523,20.0766,5.7408,5.327999999999999,1.6672,4.3163,17.2723,3.5263,-13.2981,-1.7189,5.7367,-4.1883,-0.2872,16.3874,-10.2493,24.4082,8.3668,-6.8704,9.6275,2.1911,0.055,-4.9894,11.3248,-6.4025,0.1961,12.3501,-13.8784,7.3767,-23.6139,12.0824,2.0292,13.2324,9.477,1.9605,-0.2408,18.6882,1.8696,-3.2576,7.7432,15.0407,-18.5113
